method,rho_label,rho,q0,delta,true_break,qhat,estimated_break,break_abs_error,el_stat,p_value,reject_5,feasible,score,score_variance,rss,strength,score_gap_stable_minus_estimated,rep,T,K,min_size,grid_step,penalty
stable,0.50,0.5,0,0.0,,0,,,0.2753894380579065,0.5997391903920095,False,True,-0.27109942817108906,0.26766253023396386,216.51574323763253,0.33764255227806156,0.0,29,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.2753894380579065,0.5997391903920095,False,True,-0.27109942817108906,0.26766253023396386,216.51574323763253,0.33764255227806156,0.0,29,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.2753894380579065,0.5997391903920095,False,True,-0.27109942817108906,0.26766253023396386,216.51574323763253,0.33764255227806156,0.0,29,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,5.8759507039770655e-05,0.9938838957395452,False,True,-0.003933893772975869,0.26335977919218884,201.13524006924115,0.3371467715554195,0.0,30,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,5.8759507039770655e-05,0.9938838957395452,False,True,-0.003933893772975869,0.26335977919218884,201.13524006924115,0.3371467715554195,0.0,30,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,5.8759507039770655e-05,0.9938838957395452,False,True,-0.003933893772975869,0.26335977919218884,201.13524006924115,0.3371467715554195,0.0,30,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.17654372353255665,0.6743604911555425,False,True,-0.24561395260857266,0.34126878403801714,212.5828666063365,0.34575316813555473,0.0,31,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.17654372353255665,0.6743604911555425,False,True,-0.24561395260857266,0.34126878403801714,212.5828666063365,0.34575316813555473,0.0,31,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.17654372353255665,0.6743604911555425,False,True,-0.24561395260857266,0.34126878403801714,212.5828666063365,0.34575316813555473,0.0,31,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.5751655720685678,0.44821352594111763,False,True,0.4258422896503217,0.31307403365455094,213.92634094239855,0.3566981409244215,0.0,32,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.5751655720685678,0.44821352594111763,False,True,0.4258422896503217,0.31307403365455094,213.92634094239855,0.3566981409244215,0.0,32,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.5751655720685678,0.44821352594111763,False,True,0.4258422896503217,0.31307403365455094,213.92634094239855,0.3566981409244215,0.0,32,240,4,60,4,0.75
